2,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,900.000000,900.000000,900.000000,1.000000,0
5,0,1,0.000000,0.309017,0.951057,77.710518,0.000000,0.000000,0.100000,0.100000,0.100000,1.000000,0
3,0,1,0.000000,-60.000000,0.000000,90.000000,0.000000,0.000000,1000.000000,1000.000000,1.000000,1.000000,0
7,0,1,0.000000,0.000000,20.000000,0.000000,0.000000,0.000000,1.500000,1.500000,1.500000,1.000000,0
7,0,1,5.000000,5.000000,20.000000,0.000000,0.000000,0.000000,1.500000,1.500000,1.500000,1.000000,0
7,0,1,5.000000,-5.000000,20.000000,0.000000,0.000000,0.000000,1.500000,1.500000,1.500000,1.000000,0
7,0,1,-5.000000,5.000000,20.000000,0.000000,0.000000,0.000000,1.500000,1.500000,1.500000,1.000000,0
7,0,1,-5.000000,-5.000000,20.000000,0.000000,0.000000,0.000000,1.500000,1.500000,1.500000,1.000000,0
8,0,1,-60.000000,-50.000000,-50.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0
8,0,1,0.000000,-50.000000,20.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0
8,0,1,60.000000,-50.000000,20.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0

